audio_file_name,Submitted Audio Link,Question,Human Transcription,It's,locked.,I,can,open,it.,Notes
grade1_profile30490_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1ABTRkeJT5r8DeoUOwK267qZER8x8gJ3P/view?usp=drivesdk,It's locked. I can open it. ,It's looked. I can open it.,2,1,2,2,2,2,
grade1_profile28387_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/13zkvK5glvftB20BsZmdPmdQwBST0rmkJ/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile30633_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1EJ2PxMq-jUeDR9vfYH1qls8bJsiRK5C9/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,0,2,2,2,2,
grade1_profile30684_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1UcV97LmfBZ8dFFvkJi43DQiIyvr4o6XC/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,0,2,2,2,2,
grade1_profile28417_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ahDtRbHfkMLeAzZ1C13m2RNWCFo-4Deg/view?usp=drivesdk,It's locked. I can open it. ,This locked. I can open it. ,0,2,2,2,2,2,
grade1_profile28475_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1Cno3GTj01Gs7aVBlZlI_yXr_qC7l72t6/view?usp=drivesdk,It's locked. I can open it. ,locked. I can opened it. ,0,2,2,2,0,2,
grade1_profile28485_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1qsKAq366_c1djc8vogu7Z22Oa36SiiOU/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,0,2,2,2,2,
grade1_profile31205_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1eRnfUby87T8F23MavT46p_0hn4nTyoPF/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile30476_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/156n8euERyGgn-VL4B4J6zfxHPkHYRs_I/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,1,2,2,2,2,
grade1_profile31203_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ZETZf7yiTU5oFdoBJgwMmiC7amV-q6Mi/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,1,2,2,2,2,
